RNA;nom;sigle;description;etat;dateDeValidationStatuts;siege;liste_activites;contact_adresse;contact_cp;contact_ville;site_web;anneeCreation
W332023766;Moovens;www.moovens.net;"Moovens est une association qui dispense des cours de roller (quad et en ligne)
On vous accueille quelles que soient vos motivations à venir rouler : détente et plaisir de la glisse, sport et technique, moyen de déplacement urbain.";Validée;2018-11-01;Bordeaux;Roller;87 Quai des Queyries;33100;Bordeaux;https://moovens.net/dev-new-site/;2018
w332022106;les pieds sur terre;;"Nous avons créé cette association en juillet 2017 afin de venir en aide aux populations les plus défavorisées et pouvoir faire intervenir auprès de ces personnes des professionnels de santé et des étudiants paramédicaux. 
Notre association aura donc pour but d’aider ces populations en difficulté à avoir accès à ces actes gratuitement.";Validée;2017-07-05;Bordeaux cedex;Autres activités d'entraide et de solidarité;rue Francisco Ferrer;33076;Bordeaux cedex;;2017
W332013209;Médiagora Bordeaux;;L'association Médiagora Bordeaux a pour objet l'accompagnement des personnes qui souffrent de phobie et d'anxiété handicapante dans leurs milieux de vie.;Validée;2011-11-30;Bordeaux;Accompagnement des patients;7 rue Jules Perrens;33800;Bordeaux;http://mediagoras.fr/bordeaux/;2011
W332023417;Ikigai - L'école du samedi;;Association proposant des ateliers ludiques de découverte de la société à des enfants de 10 à 12 ans, scolarisés en réseaux d'éducation prioritaires. Par des rencontres ludiques avec des professionnels passionnés et durant des mises en situations, nos élèves prennent conscience de la diversité de la société, de leurs capacités et de ce qu'ils aiment faire ! Pour demain, être acteurs de leur avenir...;Validée;2018-04-25;Bordeaux;Activités péri et extra scolaires;38 rue Blanchard Latour;33000;Bordeaux;http://lecoledusamedi.fr;
W332021907;Absolut Bordeaux Systéma;ABS;Pratique, enseignement et diffusion d'arts martiaux et de méthodes de bien-être d'origines russes;Validée;2017-05-17;Bordeaux;Self défense;12, rue GENSAN;33000;Bordeaux;http://www.association-bordeaux-systema.com;2017
W332021543;Fearless Culture;;Notre objectif est de venir en aide aux demandeurs d’asile et aux réfugiés grâce à l’organisation d’événements culturels dont les bénéfices sont reversés à des associations ou centres d’accueil de réfugiés.;Validée;2017-03-23;Bordeaux;Autres activités d'entraide et de solidarité;14 rue Saint Nicolas;33800;Bordeaux;;2017
W332027215;TERTIO;;L'association a pour but de favoriser et d'organiser des temps d'échange, de rencontres et des activités susceptibles de créer du lien social et de l'entraide mutuelle entre des personnes adultes porteuses de Troubles du Spectre de l'Autisme.;Validée;2018-11-19;BORDEAUX;Autres activités d'entraide et de solidarité;6 Rue Paul Verlaine;33000;BORDEAUX;;2018
W332027227;Kids'mile;;Notre association humanitaire et solidaire a pour vocation de favoriser l'accès à l'éducation au Sénégal. Cette année, notre équipe de 6 étudiants a pour ambition de collecter des fonds en vue de la construction d'un bâtiment pour une école primaire dans la ville de Ziguinchor. S'ensuivra un trek de 15 jours dans la région de la Casamance pour partager des moments auprès des enfants et des populations locales.;Validée;2020-03-02;Bordeaux;"Autres aides internationales;Solidarité internationale, associations caritatives";21 rue Leydet;33800;Bordeaux;;2020
W332009612;Alliance Guinée Aquitaine;AGA;"Cette association à but non lucratif a pour objet de mobiliser des moyens humains et matériels
en vu d’apporter aide, assistance et développement aux populations sur le territoire national
français, sur l’ensemble du territoire national de la république de guinée ainsi qu’à
l’international.";Validée;2009-11-20;Lormont;Aide humanitaire;9, Rue francois Rabelais;33310;Lormont;;2009
W332015323;Association Jeunesse et entreprises Nouvelle-Aquitaine, club de Bordeaux;AJE;rapprocher les jeunes des entreprises et les entreprises des jeunes, avec le relais des enseignants et des parents d'élèves;Validée;2016-11-09;Bordeaux;Autres activités pour l'emploi, l'insertion professionnelle, la formation;18 avenue Louis Barthou;33200;Bordeaux;;1996
W505033803;ADRA France - Antenne de Bordeaux;ADRA;"Nous sommes une antenne locale de l'association ADRA France.
Nous accompagnons des personnes isolées ou en situation de précarité à travers des actions personnalisées.
Nous mettons en place des actions et projets en faveur des réfugiés (cours de français, démarches administratives, intégrations sociales et culturelles).
Notre slogan : ""Changer le monde, une vie à la fois""";Validée;2007-12-16;Bordeaux;"Aide humanitaire;Autres activités d'entraide et de solidarité";6 Rue Marbotin;33700;Bordeaux;http://adra.fr/;2007
W332027244;Swalloows;;Développer la philanthropie par des projets entrepreneuriaux et associatifs, par la mobilisation des citoyens et des institutions du territoire. Nous œuvrons pour le développement de la philanthropie et la démocratisation du don en France. Rendre la philanthropie accessible à tous. Créer une motivation inédite de la philanthropie par de nouveaux outils numériques.;Validée;2018-11-22;Bordeaux;"Création et développement d'activités;Numérique";28 rue Cerey;33200;Bordeaux;;2018
W332014332;TMB - Tango Milonguero Bordeaux;TMB;Promotion du tango argentin, et notamment du tango de bal, et du lien social.;Validée;2012-06-20;Bordeaux;"Amicales - Confréries - Clubs;Autres activités manuelles et cours";bordeaux;33000;Bordeaux;;2012
W332021423;la cassette;;La Cassette promeut I'art & la culture, crée des échanges sociaux & culturels, organise du spectacle vivant, des expositions, aide & conseille à la production musicale et le spectacle, conseille les lieux de diffusion à la programmation, résidence artistiques, accompagnement à l'enregistrement audio, accompagnement à la réalisation de vidéos, développement de projets artistiques...;Validée;2017-03-04;Bordeaux;Musiques actuelles;55 rue Galin;33100;Bordeaux;;2017
W332005215;Renaissance de l'orgue à Bordeaux;ROB;Promouvoir l'orgue, sa musique et ses musiciens;Validée;1947-04-28;Cenon;Classique;26 rue du Maréchal Gallieni;33150;Cenon;http://www.renaissance-orgue.fr;1947
W332004048;Girofard centre LGBTI+;;Centre Lesbien Gay Bi Transgenre et Inter-sexe de Bordeaux Nouvelle Aquitaine;Validée;2009-12-18;Bordeaux;Autres activités d'entraide et de solidarité;34 rue Bouquiere;33000;Bordeaux;;
W332022201;Pei Lin Wushu Sport Association;;Association ayant pour objet l'enseignement des arts martiaux chinois,la préparation de spectacle et la réalisation de vidéo amateurs de scène d'actions.;Validée;2017-08-11;Bordeaux Cauderan;Karaté et disciplines associées;188 Rue Pasteur;33200;Bordeaux Cauderan;;2017
W336000812;LES SOURCES;;"Cours de yoga de l'énergie
Cours pour tous
Cours adapté (personnes fragilisées)
Prénatal";Validée;2018-12-07;Bordeaux;Yoga;133 cours de l'Argonne;33000;Bordeaux;http://energieyoga.com;1993
W332015025;5UN7;5UN7;"Lieu d'art contemporain porté par des artistes pour des artistes. Impliqué dans la vie culturelle de la cité et plus largement dans la création contemporaine, accueillant mensuellement des artistes en devenir et confirmés de la Métropole mais aussi sous forme de résidences courtes des artistes français et internationaux, 5UN7, ouvert sur
tous les champs de l'art contemporain dans un engagement attentif et indépendant";Validée;2012-11-11;BORDEAUX;Arts plastiques;57 rue de La Rousselle;33000;BORDEAUX;http://www.5un7.fr;2012
W332021544;MASCARADE;;Association socio-culturelle, organisation de concerts, soirées et d'ateliers culturels.;Validée;2018-03-23;bordeaux;"Musiques actuelles;Autres activités éducatives";65 passage des graves;33000;bordeaux;;2017
W332023316;AquiCèdre;;"L'association a pour objectif de renforcer et améliorer les échanges socioculturels et les relations entre la France et le Liban par tous les moyens à sa disposition.
AquiCèdre vise a améliorer et faciliter l’arrivée et l’intégration des nouveaux étudiants.";Validée;2018-03-02;Talence;Autres activités de citoyenneté;1 place Saint Christoly;33000;Bordeaux;;
W332023827;ILÊ ONA;;"Promouvoir, développer et enseigner différentes pratiques corporelles et musicales ainsi que diverses formes d'expression culturelle telles que la capoeira des ANGOLEIROS DO MAR, les danses afro-brésilienne ...
Développer les rencontres et formations dans le secteur culturel, éducatif, de l'insertion et de l'entreprise; ainsi que l'activité de production et diffusion d'ouvres originales.";Validée;2018-06-22;bordeaux;"Capoeira;Du monde;Musiques du monde";32 rue marcelin berthelot;33200;bordeaux;;2018
W332023973;Gayté de chœur;;Gayté de Chœur est un ensemble vocal amateur, composé d'hommes qui chantent pour faire entendre la voix de la tolérance et de la diversité. Réunis autour de valeurs tant humaines qu’artistiques, les chanteurs de Gayté de Chœur défendent la cause des personnes LGBTQI+. Le caractère universel et humaniste du chant choral se révèle être un formidable levier pour sortir des préjugés et accepter les différences.;Validée;2018-09-14;Bordeaux;Classique;34 rue Bouquière;33000;Bordeaux;http://www.gaytedechoeur.org;2018
W332023624;MA compagnie;MA;la conception, la création, la promotion et l’exploitation de spectacles vivants , notamment dans le domaine de la danse et le jeune public, ainsi que le développement de la pratique de la danse.;Validée;2018-06-05;BORDEAUX;Contemporaine;226 boulevard Albert 1er;33800;BORDEAUX;;2018
W332006593;Centre d'information sur le droit des femmes et des familles;CIDFF Gironde;"Promouvoir l'égalité entre les femmes et les hommes
Lutter contre les violences sexistes
Le CIDFF 33 a pour but de créer, animer et gérer les outils d'informations et de formation permettant de donner aux femmes les moyens d'exercer leurs droits à partir de leurs propres choix.";Validée;2017-06-22;BORDEAUX;"Droits des femmes;Accompagnement à l'insertion professionnelle;Aide aux personnes en situation difficile (violences, maltraitance, discrimination, etc.);Droits communs;Accueil, information, orientation;Création et développement d'activités;Clubs d'entreprises, associations d'entreprises;Droit du travail;Conseils juridiques;Autres activités d'accompagnement à l'entrepreunariat;Aide à la recherche d'un emploi;Autres activités pour l'emploi, l'insertion professionnelle, la formation";13 RUE THIAC;33000;BORDEAUX;http://gironde.cidff.info;1985
W332023729;Fit & Curious;;"Organisation d’événements sportifs et culturels / proposition d'animations diverses combinant ces deux dominantes.
Soyez sportifs et curieux !";Validée;2018-07-20;BORDEAUX;Remise en forme;328 rue Pasteur;33200;BORDEAUX;;2018
w332007384;Comité Local des Oeuvres Sociales du CHU de Bordeaux - Section Peinture;CLOS du CHU;La Section Peinture du Comité Local des Oeuvres Sociales du CHU de Bordeaux propose aux actifs et retraités du CHU de Bordeaux des cours de dessin et de peinture à l'huile dans une ambiance conviviale. Les ateliers sont animés tout au long de l'année par un artiste et professeur à l'école des Beaux Arts de Bordeaux. Le travail de l'année est dévoilé lors d'expositions annuelles hautes en couleurs !;Validée;2017-03-21;Pessac;Sculpture, peinture;4 avenue du Haut-Lévèque;33600;Pessac;http://closchubordeaux.byethost31.com/;
W332011823;Les Morphogènistes;;L'objet de l'association Les Morphogènistes (loi 1901) : mener diverses actions culturelles dans le champ des arts numériques. Elle s’organise autour de trois pôles principaux : la création, la pédagogie et la recherche.;Validée;2019-02-14;Bordeaux;Arts numériques;35BIS rue de Marmande;33800;Bordeaux;https://www.morphogenistes.org;2011
W332018238;Association de Conseil en Création d’Entreprise pour le Développement de l’Emploi - Aquitaine Entrepreneurs;ACCEDE;ACCEDE Aquitaine Entrepreneurs est l’association spécialisée dans les prestations de conseil dédiées aux entrepreneurs. En réalisant des études de marché, des business plans et de l’accompagnement juridique, elle permet aux porteurs de projets de concrétiser leurs idées jusqu’à leur financement. En outre, ACCEDE est à l'origine du plus grand concours entrepreneurial d'Aquitaine : le Millésime de la création.;Validée;2013-09-01;Talence;Autres activités pour l'emploi, l'insertion professionnelle, la formation;680 Cours de la Libération;33405;Talence;https://accedeaquitaine.fr/;2013
W951001034;Percal Tango;;Promouvoir la culture argentine à travers la musique, la danse, le théâtre. Création et vente des spectacles vivants.;Validée;1995-07-15;Bordeaux;Musiques du monde;86 cours Victor Hugo;33000;Bordeaux;http://www.percal-tango.com;1995
W332007693;CAM Bordeaux - Section Escrime;CAM Escrime;L'escrime : la discipline sportive accessible pour tous. Enfants, adultes, seniors, hommes, femmes, valide ou avec un handicap.;Validée;2010-02-11;Bordeaux;Escrime;107 avenue de la République;33200;Bordeaux;http://www.escrimebordeaux.com;1979
w332027127;Imedi;;Lever la barrière de la langue afin de garantir aux personnes non-francophones un meilleur accès aux droits et aux soins. Plus généralement, soutenir l’accueil, l’insertion sociale et l’émancipation des personnes en situation de précarité. Participer au développement et à la promotion du métier d’interprète en milieu médical et social.;Validée;2018-11-05;Bordeaux;Autres activités d'entraide et de solidarité;3 rue du Vieux Marché;33000;Bordeaux;;2018
W332027693;Fédération des Malades et Handicapés Union Départementale de Gironde;;Accompagner et défendre les droits des personnes handicapées, malades, parents ou amis des personnes touchées par la maladie et des personnes morales. Travailler à résoudre les problèmes sociaux posés par la maladie et le handicap.;Validée;2019-01-31;Bordeaux;Autres activités d'entraide et de solidarité;43 rue du Sablat;33240;Cubzac les Ponts;;2019
W332022234;Bang On Your Chest;BOYC;L'association Bang On Your Chest a pour but de promouvoir le Basketball dans la région Nouvelle Aquitaine et plus particulièrement à Bordeaux par le biais d'événements sportifs (match de gala, tournoi, animation, etc.).;Validée;2017-08-24;Bordeaux;Basket-ball;3 rue Jules Steeg;33800;Bordeaux;https://www.bangonyourchest.com;2017
w332027751;Les Autruches Utopistes;;Les Autruches Utopistes est une association engagée dans la démarche zéro-déchet, voulant promouvoir avec des outils médiatiques ce mouvement comme une des solutions pour résister au modèle économique et démocratique qui nous est imposé actuellement.;Validée;2019-03-13;Bordeaux;Ecologie;47 rue Carpenteyre;33800;Bordeaux;;2019
W332008788;Association Sociale Pour l'Emploi;ASPE-EUREKA;Association Intermédiaire, accompagnement de demandeurs d'emplois au travers des missions auprès des particuliers, collectivités, associations, bailleurs sociaux, entreprises dans les domaines de l'entretien du cadre de vie et/ou du repassage, nettoyage de locaux, entretien de parties communes, gestion des containers, manutention, aide bricolage, entretien espaces verts, manœuvre.;Validée;2013-04-15;EYSINES;Autres activités pour l'emploi, l'insertion professionnelle, la formation;120 rue Héron;33000;BORDEAUX;http://aspe-services.fr/;
W332027579;Union des Associations Mahoraises en Gironde;UAMG;L'Union des Associations Mahoraises en Gironde a pour vocation de promouvoir la culture, éducation, accompagnement, musique, danse, activités sportives, loisirs, intégration, action social, prévention, solidarité et divers.;Validée;2018-10-27;Bordeaux;"Patrimoine;Autres jeux;Football";6, Rue François Léveque;33300;Bordeaux;;2018
W332004208;AGIR CANCER GIRONDE;;"Association Girondine 
Participation au financement de la recherche contre le cancer , par le recyclage de bouchons perimés ou usagés de la filière vinicole 
185 000  euros reversés en 12 ans à l'institut BERGONIE de Bordeaux 
En moyenne 60 tonnes de bouchons recyclés par an et 21000 euros dedons à la recherche";Validée;2008-05-28;VILLENAVE D ORNON;Autres activités d'entraide et de solidarité;17 avenue Général Castelnau;33140;VILLENAVE D ORNON;http://www.agircancergironde.fr;2008
w332010728;Wouxia Clan;;Elle a pour objet de promouvoir les Gymnastiques énergétiques chinoises, les activités physiques et sportives de détente et de loisir, pour tous les âges et dans tous les milieux.;Validée;2010-06-16;Bordeaux;Promotion de la santé;292 rue Pelleport;33800;Bordeaux;;2010
W641003018;KEEP A BREAST;;Créée en 2008, Keep A Breast Foundation Europe (KABE) est une association à but non lucratif et reconnue d’intérêt général dont la mission est de sensibiliser les jeunes à l’importance d’adopter un mode de vie sain et responsable pour leur bien-être à long terme. Elle reste aujourd’hui la plus importante fondation de sensibilisation au cancer du sein.;Validée;2017-06-24;Bordeaux;Autres activités de prévention;10 Cours Georges Clemenceau;33000;Bordeaux;http://www.keep-a-breast.fr/;2008
W923006352;EwenLife rare diseases;EwenLife BdxAss;EwenLife Maladies Rares souhaite apporter le meilleur de la digitalisation au service des patients maladies rares.;Validée;2018-07-06;Bordeaux;Aide aux familles des malades;20 allée d’Orléans;33000;Bordeaux;;2017
W332027420;AmaruArt-Europe;;Projets culturels fusionnant l'art, le cinéma, l'histoire et l'écologie. Contribuer au développement de la création contemporaine et de promouvoir le travail des artistes dans tous les domaines d'expression expérimentale ou confirmée tant en France qu'à l'étranger. Des expositions d'art, photographie, spectacles, festivals cinématographique, musicaux, audiovisuel, etc. pour Tous publics.;Validée;2018-10-19;Talence;Cinéma/Vidéo;14b rue Georges Pompidou;33400;Talence;;2018
W332019845;yog'a la vie;;Promouvoir le yoga pour les enfants;Validée;2016-03-13;Bordeaux;Autres activités de bien-être;35 rue Pagès;33000;Bordeaux;;2016
W332019029;Solinum;;"Solinum est une start-up sociale, association loi 1901 à but non-lucratif, qui a pour ambition de faire du numérique un levier pour augmenter l’impact de l’action sociale. 
Les nouvelles technologies peuvent être un véritable appui pour aider les plus démunis. Solinum a pour vision de réduire la grande précarité en mutualisant les nouvelles possibilités et innovations offertes par le digital.";Validée;2018-06-25;Bordeaux;Autres activités d'entraide et de solidarité;66 rue Abbé de l'Epée;33000;Bordeaux;http://www.solinum.org/;
w332011903;Association Sportive du golf de Bordeaux Lac;;"Dans le cadre de la vie sociale et sportive du club, nous nous attachons à : 
* développer la pratique sportive auprès des jeunes.
* présenter des équipes du Golf Bordeaux Lac aux championnats (nationaux et régionaux) dans toutes les catégories d'âge
* gérer la logistique des déplacements, accompagner nos joueurs 
* organiser des compétions de très haut niveau sous l’égide de la Fédération Française de golf.";Validée;2011-01-11;Bordeaux;Golf;Avenue de Pernon;33300;Bordeaux;http://www.asgolfbordeauxlac.com/;1999
W931021996;ASSOCIATION D'AIDE A L'INSERTION SOCIO ECONOMIQUE DES IVOIRENS DE LA DIASPORA-SNJD;AIS-SNJD;"L’aide à l’insertion sociale et économique des ivoiriens de la diaspora ;
l’aide à l’insertion sociale des primo-arrivants dans les Etats d’accueil ;
la sensibilisation et la formation des jeunesses africaines sur l’immigration clandestine ;
l’aide à l’auto-emploi des populations africaines.";Validée;2019-04-09;Aubervilliers;Accompagnement à l'insertion professionnelle;14 Chemin du Marcreux;93300;Aubervilliers;;2019
W332014872;graph'INK;graphINK;"L'association graphINK a pour objet la promotion de l’estampe originale et des techniques de gravure « propres » dites « non toxiques » par tous moyens appropriés, l’organisation de toute activité, événement, atelier, exposition, édition qui soit au service
de ces actions. Le développement de toute activité liée au graphisme en vue de l’élaboration d’objet de communication et/ou culturels sous toute forme.";Validée;2020-10-21;Bordeaux;"Autres activités manuelles et cours;Arts plastiques";10 quai de Brazza;33100;Bordeaux;https://atelierdegravure.fr;2012
W332027442;RECUP - RECYCLAGE ET COMPOSTAGE URBAIN PARTICIPATIF;LES RECYCLETTES;"Le projet RECUP, est né de la volonté de cinq étudiants de trouver une solution durable à la valorisation des déchets organiques en milieu urbain, qui représentent jusqu'à 40% du poids de nos poubelles.
En conséquence, notre souhait est de proposer une solution innovante et participative pour composter en appartement en toute facilité.";Validée;2019-01-16;Bordeaux;Ecologie;19 Cours Pasteur;33000;Bordeaux;;2019
W332007625;Bordeaux Ultimate;;Club sportif d'ultimate-frisbee : sport collective se jouant en équipe sur un terrain en herbe avec un frisbee. Notre club est en fait une section du stade bordelais (section ultimate).;Validée;2009-01-02;Bordeaux;Eveil multisports;30 rue Virginia;33200;Bordeaux;http://bordeauxultimate.com/;2002
W931004969;Association Proxité;;"Proxité est une association qui agit pour la réussite de la jeunesse et le développement du lien social. Nous nous consacrons essentiellement aux territoires prioritaires ainsi qu’aux jeunes isolés ou protégés.
 
Au cœur de Proxité, il y a le parrainage : un accompagnement personnalisé, régulier et durable de jeunes dès la 6ème, par des bénévoles venus du monde du travail : les « parrains/marraines ».";Validée;2019-03-23;BORDEAUX;Soutien scolaire;X;33100;BORDEAUX;https://www.proxite.com;2002
W332002475;France Amérique Latine 33 - Comité Bordeaux Gironde;FAL33;Renforcement des liens d’amitié et de coopération entre le peuple français et ceux des pays d’Amérique Latine en faisant connaître largement et de façon objective la vie sociale, économique, culturelle et politique de ces pays en organisant des campagnes et des services de solidarité;Validée;2017-06-12;Bordeaux;Solidarité internationale, associations caritatives;28 Rue Baudrimont;33100;Bordeaux;;1981
W332023919;La Patcherie;;Promouvoir le patchwork en organisant des rencontres entre ses adhérents, des expositions, des sorties, des vide-greniers, et toute activité liée directement au patchwork.;Validée;2018-09-16;BORDEAUX;Couture, mode;15 rue Mondésir;33200;BORDEAUX;http://lapatcherie.canalblog.com/;2018
W333003720;Taichi ETRE Sud Gironde;;Membre de l’Ecole de Tai Chi Relationnelle Européenne dite Ecole de Tai Chi E.T.R.E, nous proposons un Tai Chi Chuan ancien, précis et riche de tous ses aspects complexes. Nous avons une réflexion constante sur nos pratiques pédagogiques et la manière de transmettre. Nous portons des valeurs d’évolution relationnelle de l’humain. Ceci génère une pratique du Tai Chi différente devenue plus rare aujourd’hui.;Validée;2018-07-11;LOUCHATS;Taï Chi Chuan;20 bis allée des bécasses;33125;LOUCHATS;http://www.taichi-etre.com/;2018
W332022120;ANTIQUAE;SCDA;"1.	Cette association a pour objet l’organisation de rencontres et de débats autour de thèmes spirituels, philosophiques ou culturels.
2.	L'association inscrit son projet dans une dimension d’intérêt général, en préservant à ses activités un caractère non lucratif, laïque et apolitique.
3.     Elle s'appuie sur le parcours du rite écossais ancien et accepté du 4ème au 33ème degré.";Validée;2017-06-27;BORDEAUX;"Amicales - Confréries - Clubs;Autres activités de citoyenneté";42 RUE BERRUER;33000;BORDEAUX;https://supreme-conseil-aquitaine.fr/;2017
W332027565;Le Vivier des Partages;Le VDP;"Notre association propose de la médiation numérique sous le signe de la convivialité et l'entraide, notamment intergénérationnelle. 
Nous proposons également la facilitation du travail en équipe. 
Notre objectif est d'ouvrir un café associatif animé par des bénévoles, qui regroupe des activités de coworking solidaire et de salle de réunion.";Validée;2019-02-04;Mérignac;"Autres activités de citoyenneté;Autres activités d'entraide et de solidarité;Musiques actuelles";55 av du Maréchal de Lattre de Tassigny;33700;Mérignac;https://levivierdespartages.wixsite.com/accueil;2019
W332019368;Ladies' Circle 20 Bordeaux;;"L'association a pour objet de :
- Promouvoir la devise de l'Association Internationale du Ladies' Circle, à savoir : ""Amitié et Entraide"", sur le plan local, national et international.
- Favoriser l'amitié et établir des relations privilégiées entre les femmes.
- Leur fournir des occasions de servir l'intérêt général en développant des actions services. 
Le LADIES' CIRCLE FRANCE est un club service.";Validée;2019-04-18;BORDEAUX;Développement du bénévolat;Rue Clérambault;33200;BORDEAUX;;2016
W332000557;Société Linnéenne de Bordeaux;SLB;"La Société Linnéenne de Bordeaux, fondée en 1818, a pour objets l'étude et la connaissance de l'histoire naturelle : zoologie, botanique, mycologie et géologie.
Ses membres contribuent à l'enrichissement et à la diffusion des connaissances naturalistes par des inventaires de biodiversité, l’animation de sorties, d’expositions et de conférences, et la publication de Mémoires thématiques et d'un Bulletin scientifique.";Validée;2011-02-15;Bordeaux;Autres sciences;1 place Bardineau;33000;Bordeaux;https://linneenne-bordeaux.wixsite.com/slbx;
W332015073;BLEU TROPICAL;;Promotion des cultures;Validée;2017-01-02;Bordeaux;Cultures régionales;210 Allée Ferdinand Buisson;33127;St JEAN D ILLAC;;2017
W332020768;Collectif Orobanches;;"Le Collectif Orobanches est un collectif d'artistes en danse contemporaine et théâtre dont les buts sont : la création, production et diffusion de spectacle vivant ou de tout création artistique et culturelle ; la transmission et la recherche artistique sous forme de laboratoires et stages de danse, d'improvisations et d'explorations artistiques et culturelles de tous types, pour tout type de public.";Validée;2016-10-14;Bordeaux;Contemporaine;65 rue de Nérac;33800;Bordeaux;http://www.collectiforobanches.com;2016
w932002229;Éclaireuses Éclaireurs De France;EEDF;Nous sommes scouts et laïques : ouverts à toutes et tous, sans distinction d’origine ni de croyance, ne dépendant d’aucun parti ni d’aucune église. Aux EEDF, chacun est assuré de trouver respect et compréhension. L'association vise à former des citoyens engagés qui connaissent leur pays et savent respecter l'équilibre et l'harmonie de notre environnement. Rejoignez le groupe Michel Montaigne Bordeaux V !;Validée;2014-06-14;Noisy-le-Grand;"Autres activités éducatives;Autres activités de citoyenneté";235 rue Mouneyra;33000;Bordeaux;https://bordeaux.ecles.fr/;1964
W332002305;Théâtre de l'Arc en Ciels;TAC;"Buts : Représentation d'oeuvres théâtrales ; faire découvrir et apprécier le théâtre classique, notamment auprès de publics qui n'ont pas l'habitude de ce patrimoine culturel ; contribuer à la défense de la francophonie ; favoriser le partenariat avec des Associations ou Institutions poursuivant des buts analogues à ceux du TAC.";Validée;2017-04-07;BORDEAUX;Théâtre;Chez M. Eric Barcos, 112, avenue Thiers;33100;BORDEAUX;http://theatredelarcenciels.centerblog.net;2006
W332002929;Cercle d'Etudes Russes;CER;Le CER  propose des cours de russe en petits groupes. Ils sont axés sur les besoins de communication d’un touriste en pays russophone ou dont certains habitants connaissent le russe (Est européen): demander son chemin, réserver des billets de train, faire des emplettes, commander au restaurant, lire les panneaux  dans les musées ou dans la rue mais aussi se présenter, parler de sa famille, de son travail, etc.;Validée;1992-03-16;Bordeaux;Cultures régionales;Athénée Municipal, Boîte courrier N°27;33000;Bordeaux;https://cercle-etudes-russophones.fr;1992
W133028549;Substra;;L’association Substra a pour but de concevoir, mettre en oeuvre et accompagner des projets culturels. Nous produisons des spectacles vivants, des ateliers et des résidences artistiques. Nous nous spécialisons notamment sur les musiques électroniques et contemporaines. L'association porte le projet Papier Bulle, des ateliers d'éveil et d'initiation à la musique électronique destinés au jeune public.;Validée;2018-10-08;Bordeaux;Activités péri et extra scolaires;111 rue Mandron;33000;Bordeaux;;2018
W332013008;Culture des arts créoles et du monde 33;CACM33;"Cette association a pour but de favoriser, développer et promouvoir :
La pratique d’action et d’activités culturelles, artistiques, ludiques, pédagogiques, éducatives et sociales dans le champ d’intervention de l’animation socioculturelles.
La création et l’organisation de projets évènementiels et d’animation culturelle.
Production de soirées,  spectacles, diners dansants spectacles, concerts en tous genres, festival";Validée;2016-04-19;BORDEAUX;Autres activités manuelles et cours;1 RUE PRESIDENT COTY;33300;BORDEAUX;;2016
W332028713;croix blanche bordeaux;;L'association est créer afin de promouvoir la formation des gestes de premiers secours au grand public, d'aérer des dispositifs prévisionnel de secours.;Validée;2019-03-01;BORDEAUX;Formation, formation continue, apprentissage;77 rue de la rousselle;33000;BORDEAUX;http://www.croixblanchebordeaux.fr;2019
W332006829;Manta Plongée;;Créé en 2008 et affilié à la FFESSM sous le numéro 02 33 0284, Manta Plongée est un club de bénévoles à taille humaine. Que ce soit l’initiation ou le perfectionnement en plongée ou en apnée, notre esprit est d’accompagner vers son objectif chaque adulte.;Validée;2016-04-08;Bordeaux;Sports sous-marins;Bassin à Flot n°2;33300;Bordeaux;http://www.manta-plongee.org;2008
W332021855;Artemisia;;Artemisia promeut la culture et la pratique artistique auprès des jeunes de 3 à 15 ans par le biais d'ateliers, visites ou rencontres pédagogiques et ludiques autour de l'univers médiéval.;Validée;2017-04-02;Bordeaux;"Patrimoine;Autres activités manuelles et cours";8 rue de la Verrerie;33000;Bordeaux;https://www.artemisia-bordeaux.com/;2017
W332005257;Actifs 33;;Les missions principales sont : l'accompagnement des demandeurs d'emploi, l'aide au recrutement, l'accompagnement VAE, l'aide à la création et à la reprise d'entreprise, organisme de formation : formations anglais, français FLS, bureautique, compta-gestion, confiance en soi.;Validée;1993-07-02;Bordeaux;"Aide à la recherche d'un emploi;Accompagnement à l'insertion professionnelle;Formation, formation continue, apprentissage";176 rue Achard;33300;Bordeaux;https://actifs33.wordpress.com;1993
W332001273;Contact Aquitaine;;Dialogue entre les parents, les lesbiennes, gays, bi et trans, leurs familles et ami.e.s;Validée;2012-01-28;Bordeaux;Lutte contre l'intolérance et le racisme;38 cours du maréchal Foch;33000;Bordeaux;https://www.asso-contact.org/asso/33;2000
W332022915;Collectif 05/15;;Proposer à tous les publics des randonnées, des courts séjours à vocation pédestre, mais également des visites, dans la région. L'association propose également des ateliers confort et bien-être (sophrologie), ainsi que des ateliers cuisine vietnamienne !;Validée;2018-01-05;BORDEAUX;"Randonnée pédestre;Relaxation, sophrologie";31 rue de Lachassaigne chez Mme DAO DUC Sylvie;33000;BORDEAUX;;2018
W332020714;e-graine Nouvelle Aquitaine;egna;Notre association d'éducation à la Citoyenneté Mondiale cherche à cultiver l'envie d'agir auprès de tou.te.s pour que chacun.e puisse être artisan.te d'un monde solidaire et responsable. Par la pédagogie active nous souhaitons développer l'esprit critique pour amener les citoyen.ne.s de tous âges à faire des choix de société en conscience.;Validée;2016-09-30;Bordeaux;Autres activités éducatives;3 rue de Tauzia;33800;Bordeaux;https://www.e-graine.org;2016
